vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,6,2022-11-29 00:00:00,2022
7,70650,Femenino,Otro,Childhood,Desaparicion forzada,14,2013-07-30 00:00:00,2013
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,13,2019-08-30 00:00:00,2019
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2012-09-14 00:00:00,2012
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,21,2013-10-23 00:00:00,2013
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,19,2015-02-10 00:00:00,2015
8,70650,Femenino,Indigena,Adulthood,Desplazamiento forzado,13,2017-05-15 00:00:00,2017
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,15,2012-10-30 00:00:00,2012
6,70650,Femenino,Mestizo,Adulthood,Desaparicion forzada,2,2020-11-20 00:00:00,2020
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,1,2012-08-03 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Youth,Homicidio,8,2013-06-12 00:00:00,2013
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,6,2021-06-09 00:00:00,2021
7,70650,Masculino,Moreno,Childhood,Desplazamiento forzado,15,2021-11-20 00:00:00,2021
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,11,2013-12-11 00:00:00,2013
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,7,2016-08-09 00:00:00,2016
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,21,2015-04-29 00:00:00,2015
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,18,2019-08-12 00:00:00,2019
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,15,2015-03-19 00:00:00,2015
8,70650,Masculino,Afrocolombiano,Older adults,Desplazamiento forzado,13,2013-07-31 00:00:00,2013
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,6,2019-11-22 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2023-10-10 00:00:00,2023
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,13,2013-10-29 00:00:00,2013
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,13,2019-08-13 00:00:00,2019
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,21,2013-12-03 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,18,2013-04-11 00:00:00,2013
7,70650,Femenino,Otro,Adulthood,Desplazamiento forzado,15,2020-10-14 00:00:00,2020
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,13,2020-11-04 00:00:00,2020
7,70650,Femenino,Afrocolombiano,Adulthood,Desaparicion forzada,13,2014-06-17 00:00:00,2014
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2012-11-28 00:00:00,2012
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2014-06-05 00:00:00,2014
5,70650,Masculino,Mestizo,Youth,Desaparicion forzada,10,2017-08-15 00:00:00,2017
6,70650,Masculino,Otro,Youth,Desplazamiento forzado,21,2021-11-20 00:00:00,2021
9,70650,Femenino,Indigena,Childhood,Desplazamiento forzado,3,2014-11-19 00:00:00,2014
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2015-03-25 00:00:00,2015
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,13,2019-08-26 00:00:00,2019
7,70650,Masculino,Afrocolombiano,Youth,Desplazamiento forzado,15,2012-07-26 00:00:00,2012
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,1,2020-09-25 00:00:00,2020
8,70650,Femenino,Moreno,Older adults,Desplazamiento forzado,15,2012-09-11 00:00:00,2012
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,13,2020-07-24 00:00:00,2020
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2021-08-12 00:00:00,2021
8,70650,Femenino,Indigena,Adulthood,Desplazamiento forzado,8,2023-10-13 00:00:00,2023
8,70650,Femenino,Moreno,Childhood,Desplazamiento forzado,14,2013-07-15 00:00:00,2013
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,14,2018-11-15 00:00:00,2018
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,14,2014-07-30 00:00:00,2014
7,70650,Masculino,Moreno,Childhood,Desplazamiento forzado,21,2013-10-23 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,1,2023-09-14 00:00:00,2023
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,15,2019-04-02 00:00:00,2019
6,70650,Masculino,Mestizo,Adulthood,Desplazamiento forzado,14,2020-02-19 00:00:00,2020
7,70650,Masculino,Mestizo,Older adults,Desplazamiento forzado,21,2021-07-30 00:00:00,2021
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,13,2012-12-05 00:00:00,2012
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,8,2013-08-16 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2022-09-02 00:00:00,2022
6,70650,Masculino,Afrocolombiano,Youth,Desaparicion forzada,16,2013-11-16 00:00:00,2013
5,70650,Masculino,Mestizo,Adulthood,Desaparicion forzada,16,2017-11-14 00:00:00,2017
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,18,2016-02-23 00:00:00,2016
8,70650,Femenino,Mestizo,Childhood,Desplazamiento forzado,15,2016-07-22 00:00:00,2016
9,70650,Femenino,Afrocolombiano,Older adults,Desplazamiento forzado,15,2017-07-12 00:00:00,2017
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,15,2023-10-20 00:00:00,2023
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,20,2018-10-09 00:00:00,2018
6,70650,Masculino,Moreno,Adulthood,Desplazamiento forzado,9,2013-11-05 00:00:00,2013
6,70650,Masculino,Negro,Adulthood,Desplazamiento forzado,21,2013-10-19 00:00:00,2013
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,13,2023-05-05 00:00:00,2023
8,70650,Masculino,Afrodescendiente,Childhood,Desplazamiento forzado,18,2013-11-13 00:00:00,2013
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,11,2017-07-06 00:00:00,2017
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,7,2015-08-13 00:00:00,2015
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,6,2020-08-12 00:00:00,2020
6,70650,Masculino,Otro,Adulthood,Desplazamiento forzado,15,2014-06-03 00:00:00,2014
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,10,2021-11-08 00:00:00,2021
5,70650,Masculino,Mestizo,Adulthood,Desaparicion forzada,18,2018-03-20 00:00:00,2018
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,18,2022-12-05 00:00:00,2022
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,2,2013-08-26 00:00:00,2013
6,70650,Masculino,Moreno,Youth,Desplazamiento forzado,15,2017-10-03 00:00:00,2017
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,18,2023-08-25 00:00:00,2023
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,6,2020-07-22 00:00:00,2020
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2018-11-29 00:00:00,2018
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,7,2020-08-18 00:00:00,2020
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,21,2012-07-14 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Childhood,Desaparicion forzada,13,2012-10-17 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,13,2022-10-11 00:00:00,2022
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,14,2019-11-05 00:00:00,2019
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2018-08-30 00:00:00,2018
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,13,2019-10-14 00:00:00,2019
8,70650,Femenino,Afrocolombiano,Childhood,Desaparicion forzada,15,2017-11-17 00:00:00,2017
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,15,2023-03-02 00:00:00,2023
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2013-11-14 00:00:00,2013
