vulnerability_index,total_victim,sex,ethnic_group,classification,victimization_fact,commune,date_processing,year
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,14,2020-11-11 00:00:00,2020
7,70650,Masculino,Afrodescendiente,Youth,Desplazamiento forzado,15,2023-06-01 00:00:00,2023
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,12,2012-09-15 00:00:00,2012
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,14,2013-07-16 00:00:00,2013
7,70650,Femenino,Moreno,Adulthood,Desplazamiento forzado,14,2012-11-09 00:00:00,2012
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,15,2013-09-30 00:00:00,2013
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,7,2016-09-15 00:00:00,2016
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,7,2015-11-11 00:00:00,2015
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,9,2014-06-10 00:00:00,2014
7,70650,Femenino,Mestizo,Adulthood,Homicidio,11,2017-07-06 00:00:00,2017
7,70650,Femenino,Mestizo,Adulthood,Desplazamiento forzado,7,2014-07-23 00:00:00,2014
8,70650,Femenino,Afrocolombiano,Youth,Desplazamiento forzado,13,2015-10-15 00:00:00,2015
7,70650,Femenino,Otro,Youth,Desplazamiento forzado,14,2013-12-05 00:00:00,2013
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,16,2016-09-29 00:00:00,2016
8,70650,Femenino,Indigena,Adulthood,Desplazamiento forzado,15,2013-09-16 00:00:00,2013
9,70650,Femenino,Afrocolombiano,Childhood,Desplazamiento forzado,14,2016-08-01 00:00:00,2016
7,70650,Femenino,Negro,Adulthood,Desplazamiento forzado,14,2022-06-03 00:00:00,2022
8,70650,Femenino,Negro,Childhood,Desplazamiento forzado,15,2012-08-09 00:00:00,2012
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,19,2013-09-25 00:00:00,2013
9,70650,Femenino,Indigena,Older adults,Desplazamiento forzado,2,2021-11-08 00:00:00,2021
6,70650,Masculino,Otro,Youth,Desplazamiento forzado,15,2017-06-27 00:00:00,2017
7,70650,Femenino,Mestizo,Youth,Desplazamiento forzado,18,2023-05-24 00:00:00,2023
8,70650,Femenino,Otro,Childhood,Desplazamiento forzado,15,2012-09-25 00:00:00,2012
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2012-07-27 00:00:00,2012
8,70650,Femenino,Afrodescendiente,Youth,Desplazamiento forzado,5,2018-11-22 00:00:00,2018
6,70650,Masculino,Mestizo,Youth,Desplazamiento forzado,1,2018-12-18 00:00:00,2018
7,70650,Femenino,Afrocolombiano,Adulthood,Desaparicion forzada,17,2018-05-25 00:00:00,2018
7,70650,Masculino,Afrocolombiano,Adulthood,Desplazamiento forzado,21,2013-10-10 00:00:00,2013
7,70650,Femenino,Negro,Youth,Desplazamiento forzado,21,2022-05-10 00:00:00,2022
8,70650,Femenino,Afrodescendiente,Adulthood,Desplazamiento forzado,21,2016-09-06 00:00:00,2016
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,15,2020-10-06 00:00:00,2020
7,70650,Masculino,Mestizo,Childhood,Desplazamiento forzado,8,2021-12-21 00:00:00,2021
8,70650,Femenino,Afrocolombiano,Adulthood,Desplazamiento forzado,15,2012-09-15 00:00:00,2012
9,70650,Femenino,Afrodescendiente,Childhood,Desplazamiento forzado,8,2013-06-21 00:00:00,2013
7,70650,Masculino,Afrodescendiente,Adulthood,Desplazamiento forzado,6,2021-11-06 00:00:00,2021
8,70650,Masculino,Afrocolombiano,Childhood,Desplazamiento forzado,18,2015-09-11 00:00:00,2015
6,70650,Femenino,Otro,Youth,Desaparicion forzada,15,2018-03-23 00:00:00,2018
